Transaction_ID,Account_ID,Amount,Transaction_Date,Transaction_Time,Location,Type,Channel,Description
51,35,103931.04,2024-05-20,15:30:52,Quetta,Credit,Online,Fund transfer
52,19,95958.14,2023-12-07,14:05:35,Sialkot,Transfer,Online,Utility bill
53,36,193191.52,2024-02-12,03:44:44,Peshawar,Credit,Branch,Utility bill
54,37,181540.14,2023-05-09,02:44:02,Sialkot,Transfer,Mobile App,ATM withdrawal
55,58,134691.29,2024-01-01,03:40:03,Multan,Credit,Mobile App,Fund transfer
56,42,217413.46,2023-05-08,15:25:05,Rawalpindi,Transfer,Mobile App,ATM withdrawal
57,53,11007.46,2023-08-25,09:07:43,Quetta,Transfer,Mobile App,Fund transfer
58,20,123882.63,2023-03-19,10:24:54,Karachi,Debit,Branch,Utility bill
59,57,25017.95,2024-05-28,16:39:20,Quetta,Debit,Online,Fund transfer
60,20,18799.58,2024-10-13,16:38:41,Faisalabad,Credit,Mobile App,Cash deposit
61,11,212956.15,2024-09-23,19:33:17,Hyderabad,Credit,Branch,Cash deposit
62,63,218108.52,2024-11-20,08:08:13,Karachi,Transfer,ATM,ATM withdrawal
63,37,249356.74,2023-01-07,00:14:17,Lahore,Credit,ATM,Cash deposit
64,13,110975.27,2023-03-25,10:58:31,Faisalabad,Debit,ATM,Salary credit
65,8,73412.61,2024-08-26,13:57:10,Multan,Credit,Online,ATM withdrawal
66,68,103071.73,2023-06-26,11:25:03,Islamabad,Debit,Online,Utility bill
67,49,154965.62,2024-12-20,21:57:18,Rawalpindi,Credit,Online,ATM withdrawal
68,60,159512.37,2023-06-14,11:00:32,Quetta,Credit,ATM,Fund transfer
69,37,169434.96,2024-12-22,20:57:38,Islamabad,Debit,Mobile App,Salary credit
70,39,159770.78,2024-11-17,21:27:26,Peshawar,Transfer,Branch,Fund transfer
71,39,49884.33,2023-05-30,01:03:28,Peshawar,Credit,ATM,ATM withdrawal
72,49,143023.48,2024-03-15,11:07:54,Sialkot,Credit,Branch,Utility bill
73,51,68692.65,2023-09-25,00:45:16,Sialkot,Transfer,ATM,Online purchase
74,64,208226.44,2024-07-01,12:59:04,Faisalabad,Debit,Branch,ATM withdrawal
75,25,155260.7,2024-01-21,18:28:15,Islamabad,Transfer,ATM,Cash deposit
76,6,77302.33,2023-10-18,16:50:14,Quetta,Debit,Branch,Cash deposit
77,17,22624.33,2024-06-13,23:47:50,Faisalabad,Credit,Mobile App,ATM withdrawal
78,26,33126.73,2024-10-28,00:45:06,Hyderabad,Credit,Branch,ATM withdrawal
79,33,228520.83,2024-05-16,11:03:33,Quetta,Credit,Branch,Utility bill
80,60,240727.03,2024-01-27,06:26:23,Islamabad,Debit,Mobile App,Online purchase
81,47,22666.69,2024-11-16,12:57:20,Peshawar,Debit,Branch,Online purchase
82,16,113751.03,2023-04-26,17:35:15,Faisalabad,Transfer,Mobile App,Cash deposit
83,48,27175.69,2024-04-19,23:47:19,Rawalpindi,Credit,ATM,Online purchase
84,42,228822.45,2024-10-01,04:46:39,Rawalpindi,Transfer,ATM,Cash deposit
85,60,227355.97,2024-08-12,22:28:24,Faisalabad,Transfer,Mobile App,Utility bill
86,18,11432.17,2024-04-24,21:28:44,Karachi,Credit,Mobile App,Utility bill
87,13,58776.53,2023-11-17,04:38:21,Hyderabad,Debit,Mobile App,Fund transfer
88,48,167654.51,2023-03-28,12:35:04,Hyderabad,Credit,Online,Fund transfer
89,13,208439.9,2023-09-07,09:57:24,Sialkot,Credit,Branch,Utility bill
90,48,54395.69,2024-12-10,21:45:06,Quetta,Debit,Branch,Utility bill
91,48,136162.02,2024-08-09,13:36:32,Multan,Debit,Mobile App,Salary credit
92,25,242054.9,2023-01-12,19:02:03,Quetta,Debit,Online,Cash deposit
93,3,12739.57,2023-11-20,14:25:13,Multan,Debit,Online,Online purchase
94,27,17245.68,2023-12-29,18:56:50,Hyderabad,Debit,Online,ATM withdrawal
95,43,193614.71,2024-09-06,02:03:50,Sialkot,Debit,Branch,ATM withdrawal
96,17,135099.84,2024-07-09,22:31:59,Islamabad,Debit,ATM,ATM withdrawal
97,2,89624.75,2023-09-01,12:08:38,Rawalpindi,Transfer,Branch,Utility bill
98,23,66415.34,2024-04-25,08:48:17,Islamabad,Transfer,Mobile App,Online purchase
99,15,186441.75,2023-06-01,17:24:38,Quetta,Credit,Branch,Online purchase
100,14,113056.15,2024-08-30,17:39:03,Rawalpindi,Transfer,ATM,Cash deposit
